Name,Author,User Rating,Reviews,Price,Year,Genre,Rank
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction,17
The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction,18
The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,19
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,20
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,21
First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,22
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,Non Fiction,23
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,24
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2014,Non Fiction,25
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,26
Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,27
The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction,28
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,29
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,Non Fiction,30
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,31
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,32
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,33
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,34
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,35
Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,36
The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction,37
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2014,Non Fiction,38
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,39
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,40
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,41
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,42
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,Fiction,43
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,44
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,45
The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction,46
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,47
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction,48
StrengthsFinder 2.0,Gallup,4,5069,17,2014,Non Fiction,49
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,2
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2015,Fiction,3
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,4
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2015,Fiction,5
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2015,Fiction,6
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,Non Fiction,7
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2015,Non Fiction,8
Wonder,R. J. Palacio,4.8,21625,9,2015,Fiction,9
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,10
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,11
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,12
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,13
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,14
The Book with No Pictures,B. J. Novak,4.8,8081,8,2015,Fiction,15
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,16
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,17
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,18
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solveâ€¦",Ree Drummond,4.8,3428,14,2015,Non Fiction,19
The Martian,Andy Weir,4.7,39459,9,2015,Fiction,20
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,21
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2015,Non Fiction,22
First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,23
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,24
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,Non Fiction,25
The Wright Brothers,David McCullough,4.7,6169,16,2015,Non Fiction,26
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦",Johanna Basford,4.7,5413,9,2015,Non Fiction,27
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2015,Non Fiction,28
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,29
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,Fiction,30
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,31
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,32
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2015,Non Fiction,33
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2015,Non Fiction,34
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,35
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,36
Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,37
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,38
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,39
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,40
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,41
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,22641,11,2015,Non Fiction,42
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2015,Non Fiction,43
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,44
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,45
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,46
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,47
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction,48
StrengthsFinder 2.0,Gallup,4,5069,17,2015,Non Fiction,49
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,1
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,2
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,3
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2016,Fiction,4
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,5
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,Fiction,6
The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction,7
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,8
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2016,Fiction,9
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2016,Fiction,10
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2016,Non Fiction,11
Wonder,R. J. Palacio,4.8,21625,9,2016,Fiction,12
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,13
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,Non Fiction,14
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,15
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,16
Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,17
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,18
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction,19
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,20
The Constitution of the United States,Delegates of the ConstitutionalÂ…,4.8,2774,0,2016,Non Fiction,21
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,22
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2016,Non Fiction,23
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,24
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,25
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,26
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016,Non Fiction,27
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,28
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,29
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,30
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2016,Non Fiction,31
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,Non Fiction,32
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,33
Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,34
PokÃ©mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 PokÃ©mon,Scholastic,4.7,3503,9,2016,Fiction,35
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,36
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2016,Non Fiction,37
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,38
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,39
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2016,Non Fiction,40
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,41
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,42
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,22641,11,2016,Non Fiction,43
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2016,Non Fiction,44
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,45
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,46
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,Non Fiction,47
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,48
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction,49
StrengthsFinder 2.0,Gallup,4,5069,17,2016,Non Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,1
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2017,Fiction,2
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,3
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2017,Fiction,4
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,5
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,6
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,7
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2017,Non Fiction,8
Wonder,R. J. Palacio,4.8,21625,9,2017,Fiction,9
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,10
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,11
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,12
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,13
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2017,Fiction,14
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,15
The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,16
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,17
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,18
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,19
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2017,Non Fiction,20
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,21
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,22
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,23
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,24
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2017,Non Fiction,25
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,26
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,27
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,Non Fiction,28
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,29
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2017,Non Fiction,30
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,31
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction,32
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017,Fiction,33
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2017,Non Fiction,34
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,35
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2017,Non Fiction,36
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,37
What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,Non Fiction,38
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,Non Fiction,39
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,22641,11,2017,Non Fiction,40
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2017,Non Fiction,41
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction,42
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,43
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,44
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,45
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,46
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction,47
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,48
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2017,Non Fiction,49
StrengthsFinder 2.0,Gallup,4,5069,17,2017,Non Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,1
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2018,Fiction,2
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT ChildrenÂ’s Book)",Jill Twiss,4.9,11881,13,2018,Fiction,3
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2018,Fiction,4
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,5
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,6
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,7
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,8
The Wonky Donkey,Craig Smith,4.8,30183,4,2018,Fiction,9
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2018,Non Fiction,10
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",School Zone,4.8,23047,6,2018,Non Fiction,11
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction,12
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,13
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,14
The Hate U Give,Angie Thomas,4.8,9947,11,2018,Fiction,15
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,16
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2018,Fiction,17
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,18
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,Non Fiction,19
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,Fiction,20
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,Non Fiction,21
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,22
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,23
Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,24
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,25
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2018,Non Fiction,26
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,27
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,28
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,29
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2018,Non Fiction,30
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,31
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,32
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2018,Non Fiction,33
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2018,Fiction,34
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,35
Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,36
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show withÂ…,4.6,6669,12,2018,Non Fiction,37
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,38
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2018,Non Fiction,39
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,40
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,Non Fiction,41
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,42
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,Jennifer Smith,4.4,7396,13,2018,Non Fiction,43
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,Non Fiction,44
Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,45
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,Non Fiction,46
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,Fiction,47
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2018,Non Fiction,48
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,49
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,50
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,1
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction,2
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,3
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,4
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,Fiction,5
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction,6
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,7
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction,8
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,9
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,10
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,Non Fiction,11
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction,12
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,13
The Wonky Donkey,Craig Smith,4.8,30183,4,2019,Fiction,14
To Kill a Mockingbird,Harper Lee,4.8,26234,7,2019,Fiction,15
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2019,Non Fiction,16
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",School Zone,4.8,23047,6,2019,Non Fiction,17
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,18
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,19
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,20
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,21
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,Non Fiction,22
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,23
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,24
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,Fiction,25
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,26
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction,27
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,28
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,29
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,Non Fiction,30
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,31
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,32
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,33
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2019,Non Fiction,34
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2019,Non Fiction,35
